"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"aero.nasa.gov","nasa.gov","https://aero.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aero.public.hq.nasa.gov","nasa.gov","https://aero.public.hq.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aerocenter.gsfc.nasa.gov","nasa.gov","https://aerocenter.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aerocompass.larc.nasa.gov","nasa.gov","https://aerocompass.larc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aerocompass1.larc.nasa.gov","nasa.gov","https://aerocompass1.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aeroelasticity.larc.nasa.gov","nasa.gov","https://aeroelasticity.larc.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aeronautics.nasa.gov","nasa.gov","https://aeronautics.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aeronet.gsfc.nasa.gov","nasa.gov","https://aeronet.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aerospace.hq.nasa.gov","nasa.gov","https://aerospace.hq.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aerospace.nasa.gov","nasa.gov","https://aerospace.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aerospacefrontiers.grc.nasa.gov","nasa.gov","https://aerospacefrontiers.grc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aesir.gsfc.nasa.gov","nasa.gov","https://aesir.gsfc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aesmir.gsfc.nasa.gov","nasa.gov","https://aesmir.gsfc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aetd.gsfc.nasa.gov","nasa.gov","https://aetd.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"agencytokens.nasa.gov","nasa.gov","https://agencytokens.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aggregate.jpl.nasa.gov","nasa.gov","https://aggregate.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"agile.gsfc.nasa.gov","nasa.gov","https://agile.gsfc.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ahu.ndc.nasa.gov","nasa.gov","https://ahu.ndc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ai.jpl.nasa.gov","nasa.gov","https://ai.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aiaa-dpw.larc.nasa.gov","nasa.gov","https://aiaa-dpw.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aigit.larc.nasa.gov","nasa.gov","https://aigit.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ails.arc.nasa.gov","nasa.gov","https://ails.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aims.gsfc.nasa.gov","nasa.gov","https://aims.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airbornescience.jpl.nasa.gov","nasa.gov","https://airbornescience.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airbornescience.nasa.gov","nasa.gov","https://airbornescience.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aircrafticing.grc.nasa.gov","nasa.gov","https://aircrafticing.grc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airquality.gsfc.nasa.gov","nasa.gov","https://airquality.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airrange.ssc.nasa.gov","nasa.gov","https://airrange.ssc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airs.jpl.nasa.gov","nasa.gov","https://airs.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airsar-t.jpl.nasa.gov","nasa.gov","https://airsar-t.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airsar.jpl.nasa.gov","nasa.gov","https://airsar.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airsea-www.jpl.nasa.gov","nasa.gov","https://airsea-www.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airsea.jpl.nasa.gov","nasa.gov","https://airsea.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airsl0.gesdisc.eosdis.nasa.gov","nasa.gov","https://airsl0.gesdisc.eosdis.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airsl1.gesdisc.eosdis.nasa.gov","nasa.gov","https://airsl1.gesdisc.eosdis.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airsl2.gesdisc.eosdis.nasa.gov","nasa.gov","https://airsl2.gesdisc.eosdis.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"airsnrt.jpl.nasa.gov","nasa.gov","https://airsnrt.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airsteam.jpl.nasa.gov","nasa.gov","https://airsteam.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aiweb.jpl.nasa.gov","nasa.gov","https://aiweb.jpl.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"akama.arc.nasa.gov","nasa.gov","https://akama.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"alhat.jpl.nasa.gov","nasa.gov","https://alhat.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"alpha-api.urs.eosdis.nasa.gov","nasa.gov","https://alpha-api.urs.eosdis.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"alpha.urs.eosdis.nasa.gov","nasa.gov","https://alpha.urs.eosdis.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ames-vpn.arc.nasa.gov","nasa.gov","https://ames-vpn.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"amesteam.arc.nasa.gov","nasa.gov","https://amesteam.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"amfs1-webdav.jpl.nasa.gov","nasa.gov","https://amfs1-webdav.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"amfs1.jpl.nasa.gov","nasa.gov","https://amfs1.jpl.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ammos.jpl.nasa.gov","nasa.gov","https://ammos.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ampb.larc.nasa.gov","nasa.gov","https://ampb.larc.nasa.gov","National Aeronautics and Space Administration","dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ams-02project.jsc.nasa.gov","nasa.gov","https://ams-02project.jsc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ams.jsc.nasa.gov","nasa.gov","https://ams.jsc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ams.nasa.gov","nasa.gov","https://ams.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"amtrakoig.hq.nasa.gov","nasa.gov","https://amtrakoig.hq.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"analogs.jpl.nasa.gov","nasa.gov","https://analogs.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"analyst.gsfc.nasa.gov","nasa.gov","https://analyst.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"analytics.nas.nasa.gov","nasa.gov","https://analytics.nas.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"angler.larc.nasa.gov","nasa.gov","https://angler.larc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"answers.nssc.nasa.gov","nasa.gov","https://answers.nssc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"antispam.ndc.nasa.gov","nasa.gov","https://antispam.ndc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ants.gsfc.nasa.gov","nasa.gov","https://ants.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"antwrp.gsfc.nasa.gov","nasa.gov","http://antwrp.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","No","No","No","","","","","","No"
"ao.jpl.nasa.gov","nasa.gov","https://ao.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aom.giss.nasa.gov","nasa.gov","https://aom.giss.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aos.grc.nasa.gov","nasa.gov","https://aos.grc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apd440.gsfc.nasa.gov","nasa.gov","https://apd440.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apdmis.gsfc.nasa.gov","nasa.gov","https://apdmis.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api-test.echo.nasa.gov","nasa.gov","https://api-test.echo.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.cumulus.ghrc.uat.earthdata.nasa.gov","nasa.gov","https://api.cumulus.ghrc.uat.earthdata.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.cumulus.lpdaac.uat.earthdata.nasa.gov","nasa.gov","https://api.cumulus.lpdaac.uat.earthdata.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.cumulus.nsidc.uat.earthdata.nasa.gov","nasa.gov","https://api.cumulus.nsidc.uat.earthdata.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.cumulus.podaac.uat.earthdata.nasa.gov","nasa.gov","https://api.cumulus.podaac.uat.earthdata.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.cumulus.sit.earthdata.nasa.gov","nasa.gov","https://api.cumulus.sit.earthdata.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.echo.nasa.gov","nasa.gov","https://api.echo.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.nasa.gov","nasa.gov","https://api.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"api.urs.eosdis.nasa.gov","nasa.gov","https://api.urs.eosdis.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apod.gsfc.nasa.gov","nasa.gov","https://apod.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apod.nasa.gov","nasa.gov","https://apod.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"appel.nasa.gov","nasa.gov","https://appel.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"appell.jpl.nasa.gov","nasa.gov","https://appell.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"appliedsciences.nasa.gov","nasa.gov","https://appliedsciences.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apply-develop.larc.nasa.gov","nasa.gov","https://apply-develop.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"applyonline.nasa.gov","nasa.gov","https://applyonline.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"applyonline.test.nasa.gov","nasa.gov","https://applyonline.test.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apps-ldt.jpl.nasa.gov","nasa.gov","https://apps-ldt.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"apps.nasa.gov","nasa.gov","https://apps.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"apps.test.nasa.gov","nasa.gov","https://apps.test.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aqua.gsfc.nasa.gov","nasa.gov","https://aqua.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aqua.nasa.gov","nasa.gov","https://aqua.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aquarius.gsfc.nasa.gov","nasa.gov","https://aquarius.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","","","","","","Ready"
"aquarius.nasa.gov","nasa.gov","https://aquarius.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","","","","","","Ready"
"arcade.gsfc.nasa.gov","nasa.gov","https://arcade.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arcstone.larc.nasa.gov","nasa.gov","https://arcstone.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arctic-colors.gsfc.nasa.gov","nasa.gov","https://arctic-colors.gsfc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","","","","","","Ready"
"arcvpn.nasa.gov","nasa.gov","https://arcvpn.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ares.jsc.nasa.gov","nasa.gov","https://ares.jsc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"argo.jpl.nasa.gov","nasa.gov","https://argo.jpl.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria-dav.jpl.nasa.gov","nasa.gov","https://aria-dav.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria-puccini.jpl.nasa.gov","nasa.gov","https://aria-puccini.jpl.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria-qa.jpl.nasa.gov","nasa.gov","https://aria-qa.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria-search.jpl.nasa.gov","nasa.gov","https://aria-search.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria-share.jpl.nasa.gov","nasa.gov","https://aria-share.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria-timeseries.jpl.nasa.gov","nasa.gov","https://aria-timeseries.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria.jpl.nasa.gov","nasa.gov","https://aria.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aria1.jpl.nasa.gov","nasa.gov","https://aria1.jpl.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"arset.gsfc.nasa.gov","nasa.gov","https://arset.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"artcontest.larc.nasa.gov","nasa.gov","https://artcontest.larc.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"artgallery.msfc.nasa.gov","nasa.gov","https://artgallery.msfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"arthurhou.pps.eosdis.nasa.gov","nasa.gov","https://arthurhou.pps.eosdis.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"artifacts.nasa.gov","nasa.gov","https://artifacts.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asafe.larc.nasa.gov","nasa.gov","https://asafe.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asap.nasa.gov","nasa.gov","https://asap.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"asapdata.arc.nasa.gov","nasa.gov","https://asapdata.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asc.jpl.nasa.gov","nasa.gov","https://asc.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asca.gsfc.nasa.gov","nasa.gov","https://asca.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asd.gsfc.nasa.gov","nasa.gov","https://asd.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asdc-arcgis.larc.nasa.gov","nasa.gov","https://asdc-arcgis.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asdc-geoserver.larc.nasa.gov","nasa.gov","https://asdc-geoserver.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asdc-test.larc.nasa.gov","nasa.gov","https://asdc-test.larc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ase.jpl.nasa.gov","nasa.gov","https://ase.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"askacademy.nasa.gov","nasa.gov","https://askacademy.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"askmagazine.nasa.gov","nasa.gov","https://askmagazine.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aso-log.jpl.nasa.gov","nasa.gov","https://aso-log.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aso.jpl.nasa.gov","nasa.gov","https://aso.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"asomb.larc.nasa.gov","nasa.gov","https://asomb.larc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asp-archive.arc.nasa.gov","nasa.gov","https://asp-archive.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asp-interface.arc.nasa.gov","nasa.gov","https://asp-interface.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asp.jpl.nasa.gov","nasa.gov","https://asp.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aspen.jpl.nasa.gov","nasa.gov","https://aspen.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asrs.arc.nasa.gov","nasa.gov","https://asrs.arc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"aster.jpl.nasa.gov","nasa.gov","https://aster.jpl.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"asterdb.jpl.nasa.gov","nasa.gov","https://asterdb.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"asterweb.jpl.nasa.gov","nasa.gov","https://asterweb.jpl.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"astrobiology.gsfc.nasa.gov","nasa.gov","https://astrobiology.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrobiology.hq.nasa.gov","nasa.gov","https://astrobiology.hq.nasa.gov","National Aeronautics and Space Administration","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrobiology.nasa.gov","nasa.gov","https://astrobiology.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrobiowalk.gsfc.nasa.gov","nasa.gov","https://astrobiowalk.gsfc.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrobrowse.gsfc.nasa.gov","nasa.gov","https://astrobrowse.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrochem.gsfc.nasa.gov","nasa.gov","https://astrochem.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astroe.gsfc.nasa.gov","nasa.gov","https://astroe.gsfc.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astroe2.gsfc.nasa.gov","nasa.gov","https://astroe2.gsfc.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astroe2lc.gsfc.nasa.gov","nasa.gov","https://astroe2lc.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrogravs.gsfc.nasa.gov","nasa.gov","http://astrogravs.gsfc.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","No","No","No","","","","","","No"
"astrogravs.nasa.gov","nasa.gov","http://astrogravs.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","No","No","No","","","","","","No"
"astroh.gsfc.nasa.gov","nasa.gov","https://astroh.gsfc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astromaterials.jsc.nasa.gov","nasa.gov","https://astromaterials.jsc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astronauts.nasa.gov","nasa.gov","https://astronauts.nasa.gov","National Aeronautics and Space Administration","rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astronomy.gsfc.nasa.gov","nasa.gov","https://astronomy.gsfc.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astronomy101.jpl.nasa.gov","nasa.gov","https://astronomy101.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astronomy102.jpl.nasa.gov","nasa.gov","https://astronomy102.jpl.nasa.gov","National Aeronautics and Space Administration","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"astrophysics.gsfc.nasa.gov","nasa.gov","https://astrophysics.gsfc.nasa.gov","National Aeronautics and Space Administration","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"asttro.jpl.nasa.gov","nasa.gov","https://asttro.jpl.nasa.gov","National Aeronautics and Space Administration","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
