"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"search.ada.gov","ada.gov","https://search.ada.gov","Department of Justice","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"adf.gov","adf.gov","http://adf.gov","United States African Development Foundation","dotgov","No","No","No","","","","","","No"
"0sud2zwje3.adlnet.gov","adlnet.gov","http://0sud2zwje3.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"222.adlnet.gov","adlnet.gov","http://222.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"2www.adlnet.gov","adlnet.gov","http://2www.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"3dr.adlnet.gov","adlnet.gov","http://3dr.adlnet.gov","Department of Defense","dap, eot2016","No","No","No","No","Yes","No","No","No","No"
"3lzbivapdo.adlnet.gov","adlnet.gov","http://3lzbivapdo.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"abpxnd1ery.adlnet.gov","adlnet.gov","http://abpxnd1ery.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"adlnet.gov","adlnet.gov","http://adlnet.gov","Department of Defense","dotgov","No","No","No","No","Yes","No","No","No","No"
"adlregistry.adlnet.gov","adlnet.gov","http://adlregistry.adlnet.gov","Department of Defense","dap, eot2016","No","No","No","No","Yes","No","No","No","No"
"adlx.adlnet.gov","adlnet.gov","http://adlx.adlnet.gov","Department of Defense","dap, eot2016","No","No","No","No","Yes","No","No","No","No"
"atlaspro.adlnet.gov","adlnet.gov","http://atlaspro.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"be0dkstzcq.adlnet.gov","adlnet.gov","http://be0dkstzcq.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"blzop1tne5.adlnet.gov","adlnet.gov","http://blzop1tne5.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"example.adlnet.gov","adlnet.gov","http://example.adlnet.gov","Department of Defense","dap","No","No","No","No","Yes","No","No","No","No"
"free.adlnet.gov","adlnet.gov","http://free.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"handbook.adlnet.gov","adlnet.gov","http://handbook.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"http.adlnet.gov","adlnet.gov","http://http.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"ifest.adlnet.gov","adlnet.gov","http://ifest.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"launch.adlnet.gov","adlnet.gov","http://launch.adlnet.gov","Department of Defense","dap","No","No","No","No","Yes","No","No","No","No"
"legacy.adlnet.gov","adlnet.gov","http://legacy.adlnet.gov","Department of Defense","dap, eot2016","No","No","No","No","Yes","No","No","No","No"
"lrs.adlnet.gov","adlnet.gov","http://lrs.adlnet.gov","Department of Defense","dap, eot2016","No","No","Yes","Yes","No","No","No","No","No"
"mail.adlnet.gov","adlnet.gov","http://mail.adlnet.gov","Department of Defense","rdns-snapshot","No","No","No","No","Yes","No","No","No","No"
"mft.adlnet.gov","adlnet.gov","http://www.mft.adlnet.gov","Department of Defense","censys-snapshot","No","No","No","","","","","","No"
"mlearn.adlnet.gov","adlnet.gov","http://www.mlearn.adlnet.gov","Department of Defense","eot2016","No","No","No","","","","","","No"
"mlhandbook.adlnet.gov","adlnet.gov","http://www.mlhandbook.adlnet.gov","Department of Defense","eot2016","No","No","No","","","","","","No"
"ns10.adlnet.gov","adlnet.gov","http://ns10.adlnet.gov","Department of Defense","rdns-snapshot","No","No","No","No","Yes","No","No","No","No"
"ns8.adlnet.gov","adlnet.gov","http://ns8.adlnet.gov","Department of Defense","rdns-snapshot","No","No","No","No","Yes","No","No","No","No"
"ns9.adlnet.gov","adlnet.gov","http://ns9.adlnet.gov","Department of Defense","rdns-snapshot","No","No","No","No","Yes","No","No","No","No"
"research.adlnet.gov","adlnet.gov","http://www.research.adlnet.gov","Department of Defense","eot2016","No","No","No","","","","","","No"
"rustici.adlnet.gov","adlnet.gov","http://rustici.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"sandbox.adlnet.gov","adlnet.gov","http://sandbox.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"spider.adlnet.gov","adlnet.gov","http://spider.adlnet.gov","Department of Defense","dap, eot2016","No","No","No","No","Yes","No","No","No","No"
"tincan.adlnet.gov","adlnet.gov","http://tincan.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"tinycan.adlnet.gov","adlnet.gov","http://tinycan.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"tip.adlnet.gov","adlnet.gov","http://tip.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"vwf.adlnet.gov","adlnet.gov","http://vwf.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"webapps.adlnet.gov","adlnet.gov","http://webapps.adlnet.gov","Department of Defense","dap, eot2016","No","No","No","No","Yes","No","No","No","No"
"wordpress.adlnet.gov","adlnet.gov","http://wordpress.adlnet.gov","Department of Defense","eot2016","No","No","No","No","Yes","No","No","No","No"
"xapi.adlnet.gov","adlnet.gov","http://www.xapi.adlnet.gov","Department of Defense","eot2016","No","No","No","","","","","","No"
"admongo.gov","admongo.gov","https://www.admongo.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"game.admongo.gov","admongo.gov","https://game.admongo.gov","Federal Trade Commission","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"adr.gov","adr.gov","https://www.adr.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"search.adr.gov","adr.gov","https://search.adr.gov","Department of Justice","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"afadvantage.gov","afadvantage.gov","https://afadvantage.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aff.gov","aff.gov","https://www.aff.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"afrh.gov","afrh.gov","https://www.afrh.gov","Armed Forces Retirement Home","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"maximoapp01.aftac.gov","aftac.gov","http://maximoapp01.aftac.gov","Department of Defense","rdns-snapshot","No","No","No","","","","","","No"
"afterschool.gov","afterschool.gov","http://www.afterschool.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"apps.tucson.ars.ag.gov","ag.gov","http://apps.tucson.ars.ag.gov","U.S. Department of Agriculture","eot2016","No","No","No","Yes","No","No","No","No","Ready"
"dss.tucson.ars.ag.gov","ag.gov","http://dss.tucson.ars.ag.gov","U.S. Department of Agriculture","eot2016","No","No","No","Yes","No","No","No","No","Ready"
"gears.tucson.ars.ag.gov","ag.gov","http://gears.tucson.ars.ag.gov","U.S. Department of Agriculture","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tucson.ars.ag.gov","ag.gov","http://tucson.ars.ag.gov","U.S. Department of Agriculture","dap, eot2016","Yes","Yes","Yes","","","","","","No"
"aging.gov","aging.gov","https://aging.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"agingstats.gov","agingstats.gov","https://agingstats.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ahcpr.gov","ahcpr.gov","https://ahcpr.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"autodiscover.ahcpr.gov","ahcpr.gov","http://autodiscover.ahcpr.gov","Department of Health and Human Services","censys-snapshot","No","No","No","","","","","","No"
"accounts.ahrq.gov","ahrq.gov","https://accounts.ahrq.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
